text,label
"KATMANDU, Nepal (AP) - A heavily guarded convoy of six buses snaked its way out of Nepal #39;s capital Thursday, the first vehicles to defy Maoist rebels who blockaded Katmandu this week with threats alone and without setting up a single roadblock.",0
"AT amp;T Corp (TN: Quote, Profile, Research) on Thursday said it was lowering the price on its CallVantage Internet calling service by \$5 per month, matching the price from several other suppliers.",3
"Guerrillas have killed 17 Iraqis and wounded 13 in an attack on buses that were taking them to work at a weapons dump near the town of Tikrit north of Baghdad, the US army say.",0
"Microsoft quietly launched its new blogging service, MSN Spaces, earlier this week. The quiet launch has already attracted more than 250,000 users to the new service, still in beta.",3
"The National Hockey League #39;s top negotiator, Bill Daly, says that by not talking to the National Hockey League Players #39; Association, the league is actually moving the process forward.",1
"In the wake of reports that Koh Young-hee, the wife of North Korean leader Kim Jong-il, passed away earlier this month, experts are attempting to weigh the impact her death could have on",0
"Reuters - Web surfers from Beijing to Berkeley\have made Google their search engine of choice, but some of\Europe's institutional investors have gone sour on the dot-com\on the eve of its initial public offering.",0
"AP - This small village of mud and straw huts lay ruined and abandoned Sunday, the ground charred, after residents said Sudanese soldiers attacked with a warplane and helicopters, driving farmers from their homes days before a U.N. deadline to end the violence in the ravaged Darfur region.",0
"America Online Inc. said Thursday it had filed a federal lawsuit accusing numerous unnamed defendants of violating federal and state laws by sending bulk messages known as ""spim"" to instant message accounts and Internet chat rooms.",3
"AP - The United States plans to rejoin the international body that regulates the global coffee trade. Assistant Secretary of State Anthony Wayne will make the formal announcement Wednesday, the State Department said in a statement.",0
The Craig behind Craigslist speaks about his Web community's popularity and touches on the site's future.,3
QUEENSLANDER Rod Pampling made four birdies on the front nine to grab the outright lead in the second round of the Australian Open in Sydney.,1
"Reuters - Gov. Arnold Schwarzenegger signed\a law on Friday that would post information on sex offenders on\the Internet, giving Californians easier access to details on\violators.",3
Kaiju Big Battel -- a multimedia event in which costumed combatants spew toxic ooze on audience members -- is growing in popularity. There are already dedicated websites and a DVD series. Coming next: a book and TV pilot. By Xeni Jardin.,3
Padraig Harrington led the way in the German Masters first round on Thursday as Europe #39;s Ryder Cup players warmed up for next week #39;s match against the United States.,1
Reuters - A U.S. government medical\reviewer told an advisory panel Monday that new findings\confirmed his conclusion months ago that certain\antidepressants increase the chances of suicidal behavior among\children and teens.,2
AP - Terry Pilkadaris of Australia shot an even par 72 Saturday to take a two-stroke lead after the third round of the inaugural Shanghai Open.,1
"WATERFORD TOWNSHIP, Mich. -- A Waterford Township house fire claimed the lives of a veteran police officer and his family over the weekend.",2
"Tired of the heavy political ads, the ones that weigh you down with negativity, blame for national problems and division? Now there #39;s less reason to fret the breaks in your TV shows.",2
"SHARM EL SHEIKH, Egypt -- Iraqi officials rejected Arab criticism of US actions in their country, as an international conference on Iraq #39;s future opened Monday.",0
washingtonpost.com - It's amazing to see what an entrenched monopolist will do when it finally meets real competition.,3
"If the Knicks have not yet found the ability to crush teams at will, they have at least discovered how to win even when their minds wander and their discipline disappears.",1
"Moore, a senior at UNLV who has already won the NCAA Division I, US Amateur Public Links and Western Amateur titles, will face Luke List, who beat Chris Nallen in 19 holes, in today #39;s 36-hole final.",1
"AP - In the tumult of the visitors' clubhouse at Yankee Stadium, champagne pouring all around him, Theo Epstein held a beer.",1
"There were a lot of  quot;firsts quot; Friday at the ATP stop in Delray Beach, with more to come. Top-seeded Vince Spadea (d. (Q) Armando in three) reached his first Delray Beach semifinal in seven attempts.",1
"German software giant SAP is teaming with Hewlett-Packard (HP) to offer midmarket companies in the US a hosted software offering that includes applications, maintenance, services and support for a monthly fee.",3
"Serena Williams joined her Wimbledon conqueror Maria Sharapova in the quarterfinals of the China Open with a hard-earned 6-4, 3-6, 6-3 win over Russian Dinara Safin.",1
Bayern Munich players and officials were thrilled at the propsect of meeting English champions Arsenal for a place in the quarter-finals of the Champions #39; League after today #39;s draw in Nyon paired the two clubs.,1
"Reuters - Cambodian Prime Minister Hun Sen,\concerned for his country's political stability, said on Sunday\that a new monarch should be chosen next week if King Norodom\Sihanouk was determined to retire.",0
AP - Todd MacCulloch always knew his career would end. He just never expected it to come to such a sudden and mysterious stop.,1
"Century-maker Jacob Oram respected, frustrated and then bludgeoned an all-conquering bowling attack before his own  quot;popgun quot; bowling sent tremors through Australia #39;s top order in the first cricket test today.",1
Don #146;t let less-than-perfect credit prevent you from driving the car you want. Fill out a free loan application at Auto Net Financial and we #146;ll pre-arrange financing at a dealer near you.,2
