text,label
it's hard not to feel you've just watched a feature-length video game with some really heavy back story . ,0
completely creatively stillborn and executed in a manner that i'm not sure could be a single iota worse . . . a soulless hunk of exploitative garbage . ,0
"to work , love stories require the full emotional involvement and support of a viewer . that is made almost impossible by events that set the plot in motion . ",0
"for every cheesy scene , though , there is a really cool bit -- the movie's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized . ",1
"this is a poster movie , a mediocre tribute to films like them ! ",0
"never again swings between false sentiment and unfunny madcap comedy and , along the way , expects the audience to invest in the central relationship as some kind of marriage of true minds . ",0
"what is captured during the conceptual process doesn't add up to a sufficient explanation of what the final dance work , the selection , became in its final form . ",0
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short . ,1
"light , cute and forgettable . ",1
"if ever a concept came handed down from the movie gods on a silver platter , this is it . if ever such a dependable concept was botched in execution , this is it . ",0
" "" the time machine "" is a movie that has no interest in itself . it doesn't believe in itself , it has no sense of humor…it's just plain bored . ",0
spare but quietly effective retelling . ,1
"the film does a solid job of slowly , steadily building up to the climactic burst of violence . ",1
"lucky break is perfectly inoffensive and harmless , but it's also drab and inert . ",0
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1
it's no lie -- big fat liar is a real charmer . ,1
witless but watchable . ,1
i hated every minute of it . ,0
"sc2 is an autopilot hollywood concoction lacking in imagination and authentic christmas spirit , yet it's geared toward an audience full of masters of both . ",0
constantly slips from the grasp of its maker . ,0
"if the movie succeeds in instilling a wary sense of 'there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0
it's not difficult to spot the culprit early-on in this predictable thriller . ,0
a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell . ,0
it's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 . ,1
"williams plays sy , another of his open-faced , smiling madmen , like the killer in insomnia . he does this so well you don't have the slightest difficulty accepting him in the role . ",1
"if you like blood , guts and crazy beasts stalking men with guns though . . . you will likely enjoy this monster . ",1
the movie is like scorsese's mean streets redone by someone who ignored it in favor of old 'juvenile delinquent' paperbacks with titles like leather warriors and switchblade sexpot . ,0
"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone . ",0
it's fairly solid--not to mention well edited so that it certainly doesn't feel like a film that strays past the two and a half mark . ,1
"here the love scenes all end in someone screaming . maybe there's a metaphor here , but figuring it out wouldn't make trouble every day any better . ",0
writer-director ritchie reduces wertmuller's social mores and politics to tiresome jargon . ,0
what happens when something goes bump in the night and nobody cares ? ,0
"in its own floundering way , it gets to you . just like igby . ",1
"even when foreign directors . . . borrow stuff from hollywood , they invariably shake up the formula and make it more interesting . ",1
"not counting a few gross-out comedies i've been trying to forget , this is the first film in a long time that made me want to bolt the theater in the first 10 minutes . ",0
"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes . ",1
"droll caper-comedy remake of "" big deal on madonna street "" that's a sly , amusing , laugh-filled little gem in which the ultimate "" bellini "" begins to look like a "" real kaputschnik . "" ",1
"the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they've watched nothing but a pale imitation of the real deal . ",0
"tense , terrific , sweaty-palmed fun . ",1
"an ambitious , guilt-suffused melodrama crippled by poor casting . ",0
"blessed with a searing lead performance by ryan gosling ( murder by numbers ) , the movie is powerful and provocative . it's also built on a faulty premise , one it follows into melodrama and silliness . ",0
"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material . ",0
"it's not a bad plot ; but , unfortunately , the movie is nowhere near as refined as all the classic dramas it borrows from . ",0
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints . ",1
"no worse than a lot of the crap we've been offered this summer , and slightly better than men in black 2 as far as slapdash extraterrestrial comedies go . ",0
"charles' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams' attempts to get his shot at the big time . ",1
"most of the storylines feel like time fillers between surf shots . the movie isn't horrible , but you can see mediocre cresting on the next wave . ",0
"the good is very , very good . . . the rest runs from mildly unimpressive to despairingly awful . ",0
"it does give a taste of the burning man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity . ",1
 . . . what a banal bore the preachy circuit turns out to be,0
"grant gets to display his cadness to perfection , but also to show acting range that may surprise some who thought light-hearted comedy was his forte . ",1
"feels less like it's about teenagers , than it was written by teenagers . ",0
"if you're in the mood for a bollywood film , here's one for you . ",1
a byzantine melodrama that stimulates the higher brain functions as well as the libido . ,1
a major waste . . . generic . ,0
several degrees shy of the gross-out contests one expects from current teen fare . ,1
the director's twitchy sketchbook style and adroit perspective shifts grow wearisome amid leaden pacing and indifferent craftsmanship ( most notably wretched sound design ) . ,0
"it becomes gimmicky instead of compelling . "" interview "" loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into . ",0
the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs . ,1
"an entertaining , if ultimately minor , thriller . ",1
will no doubt delight plympton's legion of fans ; others may find 80 minutes of these shenanigans exhausting . ,0
"a tired , unimaginative and derivative variation of that already-shallow genre . ",0
a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides . ,1
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",1
it's one of the most honest films ever made about hollywood . ,1
bennett's dramatization of her personal descent into post-breakup perdition has a morbid appeal that's tough to shake . ,1
"in old-fashioned screenwriting parlance , ms . shreve's novel proved too difficult a text to 'lick , ' despite the efforts of a first-rate cast . ",0
'tobey maguire is a poster boy for the geek generation . ',1
an ideal love story for those intolerant of the more common saccharine genre . ,1
it may . . . work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns . ,1
"as a good old-fashioned adventure for kids , spirit : stallion of the cimarron is a winner . ",1
"the dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving . ",0
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images . ",1
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again . ",0
on the right track to something that's creepy and effective . . . it's just going to take more than a man in a bullwinkle costume to get there . ,0
the saturation bombing of reggio's images and glass' evocative music . . . ultimately leaves viewers with the task of divining meaning . ,1
"run , don't walk , to see this barbed and bracing comedy on the big screen . ",1
"spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units . ",1
"the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times",0
"[creates] the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama . ",0
"movies like this are selling the old european candor , the old wink of 'bold' revelation . but in 2002 , such revelations wilt . ",0
it's the kind of pigeonhole-resisting romp that hollywood too rarely provides . ,1
it's a feel-good movie about which you can actually feel good . ,1
"the format gets used best . . . to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . ",1
it's just a little too self-satisfied . ,0
"though this saga would be terrific to read about , it is dicey screen material that only a genius should touch . ",0
" "" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience . ",1
"this is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story's a little weak . ",1
"feature debuter d . j . caruso directs a crack ensemble cast , bringing screenwriter tony gayton's narcotics noir to life . ",1
"like the excruciating end of days , collateral damage presents schwarzenegger as a tragic figure , but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions . ",0
"for the most part , i spy was an amusing lark that will probably rank as one of murphy's better performances in one of his lesser-praised movies . ",0
this slight premise . . . works because of the ideal casting of the masterful british actor ian holm as the aged napoleon . ,1
"with an expressive face reminiscent of gong li and a vivid personality like zhang ziyi's , dong stakes out the emotional heart of happy . ",1
"with the same sort of good-natured fun found in films like tremors , eight legged freaks is prime escapist fare . ",1
"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it's as if it all happened only yesterday . ",1
"'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue . ",0
it's as close as we'll ever come to looking through a photographer's viewfinder as he works . ,1
it's a diverting enough hour-and-a-half for the family audience . ,1
"my reaction in a word : disappointment . his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0
a mildly enjoyable if toothless adaptation of a much better book . ,1
"trapped presents a frightening and compelling 'what if ? ' scenario that will give most parents pause . . . . then , something terrible happens . ",0
"the performances are so leaden , michael rymer's direction is so bloodless and the dialogue is so corny that the audience laughs out loud . ",0
both a successful adaptation and an enjoyable film in its own right . ,1
"i think it was plato who said , 'i think , therefore i know better than to rush to the theatre for this one . '",0
"wedding feels a bit anachronistic . still , not every low-budget movie must be quirky or bleak , and a happy ending is no cinematic sin . ",1
"from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything right . ",1
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0
"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate . ",0
"scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar . yes , soar . ",1
"why make a documentary about these marginal historical figures ? wouldn't one about their famous dad , author of death in venice , etc . , be more valuable ? ",0
"white hasn't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else . ",0
"whatever the movie's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",0
"a fun family movie that's suitable for all ages -- a movie that will make you laugh , cry and realize , 'it's never too late to believe in your dreams . '",1
"the movie is brilliant , really . it is philosophy , illustrated through everyday events . ",1
"it is a comedy that's not very funny and an action movie that is not very thrilling ( and an uneasy alliance , at that ) . ",0
"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . ",0
"it will come as no surprise that the movie isn't scary . but here's the real damn : it isn't funny , either . ",0
"while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation . ",1
adaptation is simply brilliant . ,1
"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we can't recommend anything but a rental for the tuxedo . ",0
"we are left with a superficial snapshot that , however engaging , is insufficiently enlightening and inviting . ",0
"a fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming . ",0
aimed squarely at the least demanding of demographic groups : very small children who will be delighted simply to spend more time with familiar cartoon characters . ,0
"a few hours after you've seen it , you forget you've been to the movies . ",0
a film that should be relegated to a dark video store corner is somehow making its way instead to theaters . it's hard to imagine acting that could be any flatter . ,0
the cartoon that isn't really good enough to be on afternoon tv is now a movie that isn't really good enough to be in theaters . ,0
"it's also clear from the start that the transporter is running purely on adrenaline , and once the initial high wears off , the film's shortcomings start to shine through . ",0
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare . ",1
the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts . ,0
the charms of the lead performances allow us to forget most of the film's problems . ,1
"the film is a contrivance , as artificial as the video games japanese teens play in a nightclub sequence , but it's an enjoyable one . ",1
the film virtually chokes on its own self-consciousness . ,0
only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm . ,0
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll . ,0
"by and large this is mr . kilmer's movie , and it's his strongest performance since the doors . ",1
"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated . ",1
a sequel that's much too big for its britches . ,0
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ",1
the story bogs down in a mess of purposeless violence . ,0
"it may not be history – but then again , what if it is ? – but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while . ",1
 a thought-provoking look at how western foreign policy - however well intentioned - can wreak havoc in other cultures . ,1
"potty-mouthed enough for pg-13 , yet not as hilariously raunchy as south park , this strangely schizo cartoon seems suited neither to kids or adults . ",0
the troubling thing about clockstoppers is that it doesn't make any sense . ,0
"definitely funny stuff , but it's more of the 'laughing at' variety than the 'laughing with . '",1
"what the audience feels is exhaustion , from watching a movie that is dark ( dark green , to be exact ) , sour , bloody and mean . ",0
this is art paying homage to art . ,1
"the power of shanghai ghetto , a documentary by dana janklowicz-mann and amir mann , rests in the voices of men and women , now in their 70s , who lived there in the 1940s . ",1
"in between all the emotional seesawing , it's hard to figure the depth of these two literary figures , and even the times in which they lived . but they fascinate in their recklessness . ",1
there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness . ,1
"an uplifting , largely bogus story . ",0
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down . ,1
"rarely do films come along that are as intelligent , exuberant , and moving as monsoon wedding . ",1
 . . . bibbidy-bobbidi-bland . ,0
"rich in shadowy metaphor and as sharp as a samurai sword , jiang wen's devils on the doorstep is a wartime farce in the alternately comic and gut-wrenching style of joseph heller or kurt vonnegut . ",1
there's plenty of style in guillermo del toro's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply can't sustain more than 90 minutes . ,0
"perfectly enjoyable , instantly forgettable , nothing to write home about . ",0
feels less like a change in [herzog's] personal policy than a half-hearted fluke . ,0
"the screenplay , co-written by director imogen kimmel , lacks the wit necessary to fully exploit the comic elements of the premise , making the proceedings more bizarre than actually amusing . ",0
bond-inspired ? certainly . likely to have decades of life as a classic movie franchise ? let's hope not . ,0
more whiny downer than corruscating commentary . ,0
i was perplexed to watch it unfold with an astonishing lack of passion or uniqueness . ,0
"lillard and cardellini earn their scooby snacks , but not anyone else . ",0
"just as moving , uplifting and funny as ever . ",1
most of the characters come off as pantomimesque sterotypes . ,0
"this is no "" waterboy ! "" ",0
"despite the film's bizarre developments , hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character's gripping humanity . ",1
"if you really want to understand what this story is really all about , you're far better served by the source material . ",0
"so unassuming and pure of heart , you can't help but warmly extend your arms and yell 'safe ! '",1
an entertaining documentary that freshly considers arguments the bard's immortal plays were written by somebody else . ,1
a culture clash comedy only half as clever as it thinks it is . ,0
it's a rare window on an artistic collaboration . ,1
"it's fun , splashy and entertainingly nasty . ",1
"johnson has , in his first film , set himself a task he is not nearly up to . ",0
nothing more or less than an outright bodice-ripper -- it should have ditched the artsy pretensions and revelled in the entertaining shallows . ,0
"go for la salle's performance , and make do as best you can with a stuttering script . ",0
"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction . ",0
"it makes compelling , provocative and prescient viewing . ",1
a tour de force of modern cinema . ,1
"you emerge dazed , confused as to whether you've seen pornography or documentary . ",1
" "" the quiet american "" begins in saigon in 1952 . that's its first sign of trouble . ",1
"the message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another . ",1
a well-executed spy-thriller . ,1
"harvard man is a semi-throwback , a reminiscence without nostalgia or sentimentality . ",0
like the chilled breath of oral storytelling frozen onto film . ,1
"plays like one of those conversations that comic book guy on "" the simpsons "" has . ",0
"producer john penotti surveyed high school students . . . and came back with the astonishing revelation that "" they wanted to see something that didn't talk down to them . "" ignoring that , he made swimfan anyway",0
dense and enigmatic . . . elusive . . . stagy and stilted,0
it's a fanboy 'what if ? ' brought to life on the big screen . ,0
"if deuces wild had been tweaked up a notch it would have become a camp adventure , one of those movies that's so bad it starts to become good . but it wasn't . ",0
one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals . . . a psychological masterpiece . ,1
"martin scorsese cria um espetáculo visual que não possui alma - um filme esteticamente belo , mas emocionalmente frio . ",0
"dull , if not devoid of wit , this shaggy dog longs to frisk through the back alleys of history , but scarcely manages more than a modest , snoozy charm . ",0
"while the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target . ",0
"witherspoon puts to rest her valley-girl image , but it's dench who really steals the show . ",1
"unfortunately , carvey's rubber-face routine is no match for the insipid script he has crafted with harris goldberg . ",0
 . . . another example of how sandler is losing his touch . ,0
"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film . ",1
"while van wilder may not be the worst national lampoon film , it's far from being this generation's animal house . ",0
"nair just doesn't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy . ",0
"too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot . ",0
"this is a movie full of grace and , ultimately , hope . ",1
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . something like scrubbing the toilet . or emptying rat traps . or doing last year's taxes with your ex-wife . ,0
a puzzling experience . ,0
"maybe you'll be lucky , and there'll be a power outage during your screening so you can get your money back . ",0
"this film is not a love letter for the slain rappers , it's a taunt -a call for justice for two crimes from which many of us have not yet recovered . ",1
"anyway , for one reason or another , crush turns into a dire drama partway through . after that , it just gets stupid and maudlin . too bad , but thanks to some lovely comedic moments and several fine performances , it's not a total loss . ",0
"ah , the travails of metropolitan life ! alas , another breathless movie about same ! ",0
nothing about the film -- with the possible exception of elizabeth hurley's breasts -- is authentic . ,0
"despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off",0
"a powerful and telling story that examines forbidden love , racial tension , and other issues that are as valid today as they were in the 1950s . ",1
"a relatively effective little potboiler until its absurd , contrived , overblown , and entirely implausible finale . ",0
a savage john waters-like humor that dances on the edge of tastelessness without ever quite falling over . ,1
deserving of its critical backlash and more . ,0
a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack,1
" . . . although this idea is "" new "" the results are tired . ",0
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . ,1
 . . . the picture's cleverness is ironically muted by the very people who are intended to make it shine . ,0
"excessive , profane , packed with cartoonish violence and comic-strip characters . ",0
not even steven spielberg has dreamed up such blatant and sickening product placement in a movie . ,0
"contains the humor , characterization , poignancy , and intelligence of a bad sitcom . ",0
manages to show life in all of its banality when the intention is quite the opposite . ,0
"there's not a spark of new inspiration in it , just more of the same , done with noticeably less energy and imagination . ",0
"it's soulful and unslick , and that's apparently just what [aniston] has always needed to grow into a movie career . ",1
"if you saw benigni's pinocchio at a public park , you'd grab your kids and run and then probably call the police . ",0
murder by numbers just doesn't add up . ,0
the warm presence of zhao benshan makes the preposterous lying hero into something more than he reasonably should be . ,1
good-naturedly cornball sequel . ,1
plummer steals the show without resorting to camp as nicholas' wounded and wounding uncle ralph . it's a great performance and a reminder of dickens' grandeur . ,1
"reign of fire may be little more than another platter of reheated aliens , but it's still pretty tasty . ",1
every conceivable mistake a director could make in filming opera has been perpetrated here . ,0
"a highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world . ",1
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky . ,1
a wild comedy that could only spring from the demented mind of the writer of being john malkovich . ,1
"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking . ",1
"while this movie , by necessity , lacks fellowship's heart , two towers outdoes its spectacle . ",1
was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ? ,0
just watch bettany strut his stuff . you'll know a star when you see one . ,1
a treat for its depiction on not giving up on dreams when you're a struggling nobody . ,1
brosnan's finest non-bondish performance yet fails to overcome the film's manipulative sentimentality and annoying stereotypes . ,0
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . ",0
"[a] rare , beautiful film . ",1
" "" 13 conversations about one thing "" is an intelligent flick that examines many different ideas from happiness to guilt in an intriguing bit of storytelling . ",1
"it's not particularly subtle . . . however , it still manages to build to a terrifying , if obvious , conclusion . ",1
despite modest aspirations its occasional charms are not to be dismissed . ,1
" . . . a light , yet engrossing piece . lux , now in her eighties , does a great combination act as narrator , jewish grandmother and subject – taking us through a film that is part biography , part entertainment and part history . ",1
"if this silly little cartoon can inspire a few kids not to grow up to be greedy bastards , more power to it . ",0
excruciatingly unfunny and pitifully unromantic . ,0
"it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite . ",1
