text,label
a generic bloodbath that often becomes laughably unbearable when it is n't merely offensive .,0
a devastating indictment of unbridled greed and materalism .,0
"hill looks to be going through the motions , beginning with the pale script .",0
what begins brightly gets bogged down over 140 minutes .,0
there 's nothing to gain from watching they .,0
"it 's still a comic book , but maguire makes it a comic book with soul .",1
"trying to figure out the rules of the country bear universe -- when are bears bears and when are they like humans , only hairier -- would tax einstein 's brain .",0
"a showcase for both the scenic splendor of the mountains and for legendary actor michel serrault , the film is less successful on other levels .",1
"sadly , full frontal plays like the work of a dilettante .",0
"... a light , yet engrossing piece .",1
the magic -lrb- and original running time -rrb- of ace japanimator hayao miyazaki 's spirited away survives intact in bv 's re-voiced version .,1
"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic .",1
"to those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` divine secrets of the ya-ya sisterhood , ' but that 's not saying much .",1
"muddled , simplistic and more than a little pretentious .",0
"for casual moviegoers who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson 's creek , they 'll probably run out screaming .",0
is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,0
"talk to her is not the perfect movie many have made it out to be , but it 's still quite worth seeing .",1
"maryam is a small film , but it offers large rewards .",1
a film that suffers because of its many excesses .,0
a tasty appetizer that leaves you wanting more .,1
i wish it would have just gone more over-the-top instead of trying to have it both ways .,0
"in the wake of saving private ryan , black hawk down and we were soldiers , you are likely to be as heartily sick of mayhem as cage 's war-weary marine .",0
"a directorial tour de force by bernard rose , ivans xtc .",1
"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .",0
"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart .",1
"once the downward spiral comes to pass , auto focus bears out as your typical junkie opera ...",0
"before long , you 're desperate for the evening to end .",0
it 's just that it 's so not-at-all-good .,0
terminally brain dead production .,0
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,0
obvious .,0
"if anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .",1
the plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .,0
brisk hack job .,0
"i guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood , nothing good can happen .",0
"... a low rate annie featuring some kid who ca n't act , only echoes of jordan , and weirdo actor crispin glover screwing things up old school .",0
so exaggerated and broad that it comes off as annoying rather than charming .,0
director tom shadyac and star kevin costner glumly mishandle the story 's promising premise of a physician who needs to heal himself .,0
"comes off more like a misdemeanor , a flat , unconvincing drama that never catches fire .",0
"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .",0
only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley 's flopping dolphin-gasm .,0
"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",0
romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong .,0
"the overall fabric is hypnotic , and mr. mattei fosters moments of spontaneous intimacy .",1
"elegant and eloquent -lrb- meditation -rrb- on death and that most elusive of passions , love .",1
