text,label
"lesson to be learned : never , never mess with "" the gay mafia ! "" ",0
"it's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",1
"new arrival alden pyle ( brendan fraser ) , an idealistic american aid worker , befriends london times correspondent thomas fowler ( michael caine ) . ",0
tess and her daughter anna are always fighting and they think each other don't see how hard their life is . ,0
a zany comedy where as pop is dying he is pushing his remaining son to fulfill his last request ; to marry and carry on the family name . ,0
"this spawn of william shakespeare and ray kroc has more fun with [the] thin premise than you might expect , mostly because of maura tierney . ",1
"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people . ",1
one whom he could never love and one whom he could never stop loving . . . ,0
"in event of death of any of the inheritors' death , a death certificate has to be produced to the bank . ",0
the pacing is often way off and there are too many bona fide groaners among too few laughs . ,1
"this has to be one of the most bizarre love stories ever to be filmed , not since nine ½ weeks has anybody done this much pampering for his 'girlfriend' . ",1
uneven but ultimately appealing satire of the dreck we call white man's rap music . some good performances and an often goofy script make for a generally good time . ,1
it treats us to beautiful insights and tragic struggles that swell the heart and make us feel genuine empathy for two people embracing the truth amidst a pack of lies . ,1
a raunchy and frequently hilarious follow-up to the gifted korean american stand-up's i'm the one that i want . ,1
"set in the los angeles police department in april 1992 , dark blue is a dramatic thriller that takes place just days before the acquittal of four white officers in the beating of black motorist rodney king and the subsequent l . a . riots . ",0
"a powerful , absorbing and thoroughly transporting film experience . ",1
"this is dicaprio's best performance in anything ever , and easily the most watchable film of the year . ",1
guy mann has been cursed since birth with blue skin . ,0
"at charlotte's insistence , pally's half-brother ray pays pally a visit and suggests he buy a race horse to cheer up . ",0
this movie seems to have been written using mad-libs . there can be no other explanation . hilariously inept and ridiculous . ,1
"you wouldn't want to live waydowntown , but it is a hilarious place to visit . ",1
"once the viewer accepts the huge leaps of faith required in the film's premise , it's a lot of fun to strap oneself in and enjoy this goofy ride . ",1
"the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge . these are names to remember , in order to avoid them in the future . ",1
