text,label
"however , the babies turned out to be both women . ",0
"now , after having an encounter with a hollywood producer who got lost in virgil grove , is asked if he would like to come back to hollywood to direct a feature movie . ",0
"by the time its otherwise paint-by-numbers story reaches a finale , drumline has made band seem cool -- no small feat in the wake of american pie 2 . ",1
"it is far from the worst , thanks to the topical issues it raises , the performances of stewart and hardy , and that essential feature -- a decent full-on space battle . ",1
"when 19 year old tommy , a gay rights activist and 24 year old alan first meet in 1973 , they find themselves on the opposite sides of the political coin . ",0
"meanwhile , maguire ( jude law ) , another hit man who had done some work for mr . rooney in the past is sent to kill sullivan . ",0
"but starla soon learns that this french girl is not only smart , attractive , and naive , but quite conniving when geneviere , with no social life of her own , beings to take over starla's , starting with stealing the affections her parents , her friends and starla's boyfriend . ",0
"in its dry and forceful way , it delivers the same message as jiri menzel's closely watched trains and danis tanovic's no man's land . ",1
"meanwhile an unspoken attraction develops between joe and ella , heightening the claustrophobic tensions in the confined space of the barge . ",0
i thought my own watch had stopped keeping time as i slogged my way through clockstoppers . ,1
"eight year old peter carlson tries to save his family from eviction by "" blackmailing santa "" . ",0
"it's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",1
"reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes . ",1
"stifler plans to throw the ultimate bachelor party , and finch is not for letting stifler steal the maid of honor , who happens to be michelle's sexy younger sister , cadence . ",0
"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness . ",1
"and what's worse , it might be coming back to get her . . . ",0
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1
"she falls in love with a successful magician , whose life she has destroyed just by doing her job . ",0
"the joy has gone out of phil's and penny's life , but when an unexpected tragedy occurs , they are brought together to rediscover their love . ",0
"charlie beck is a handsome british charmer , he arrives in a vintage sports car and woos sally until he sweeps her off her feet . ",0
the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach . ,1
"the talents of the actors helps "" moonlight mile "" rise above its heart-on-its-sleeve writing . ",1
"waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while . ",1
"this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s . ",1
the film is a romantic comedy about a portuguese widow whose husband had been a fisherman who died at sea . ,0
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . ,1
"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot . ",1
the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays . ,1
a long slog for anyone but the most committed pokemon fan . ,1
"they follow him to las vegas , where he is ostensibly doing "" research "" for the next season , but is actually pursuing a dream to become a dancer in a vegas show . ",0
nair does capture the complexity of a big family and its trials and tribulations . . . ,1
"but paul's dream job turns into a nightmare of sex for hire , drugs and violence . ",0
"suspiciously , word of the device got out to the underworld and both parents were brutally killed in front of the girls' eyes by criminals eager to get their hands on the invention . ",0
"everywhere he goes he is plagued by cats and when by chance he meets carol on a lonely highway they must begin a journey , avoiding the mysterious private detective mr barlow and the terrifying inhuman creature jack , to uncover the dark truth to charlie's life . ",0
"the californian desert , somewhere between death valley and los angeles . ",0
"documentary and drama carry spielrein's life into the cross-hairs of warring ideologies ( communism , national socialism ) . ",0
"set in the rugged mountains and lush , untamed forests of the pacific northwest , tribe of joseph is an engrossing tale of troubled youths plucked from the familiarity of their urban lives and transported into the alien isolation and life or death danger of a survivalist existence . ",0
"what we have here isn't a disaster , exactly , but a very handsomely produced let-down . ",1
"though a capable thriller , somewhere along the way k-19 jettisoned some crucial drama . ",1
"in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song . ",1
"provided with a blurry picture of william the media turns his ministry into a human interest story that spans the country in a massive media hunt for this "" miracle man "" . ",0
"it is the sheer , selfish , wound-licking , bar-scrapping doggedness of leon's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction . ",1
"this is the story of "" johnny "" , a struggling blues musician estranged from both his family and the country roots he left behind . ",0
ghisu and rupi are now promoted as commanders of their new dalam . ,0
"a compelling , gut-clutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day . ",1
"paravasu's cousin and bitter rival yavakri ( nagarjuna ) has just returned triumphant after 10 years of practicing austerities in the jungle , with the gift of universal knowledge from the gods . ",0
genuine movie magic . . . it transports you to a place somewhere between eavesdropping voyeur and silent referee . ,1
"a sumptuous showcase for ian holm , who delivers not one but two great performances . ",1
"palestinian-american ali sahid and his older brother mustafa both struggle with their muslim religion and american way of life while living with their strict father , hassam sahid , a widower . ",0
on an out of control train holding hostages and high-tech bio-weapons agent kristoff ( van damme ) becomes a one man army to derail the terrorists and save the lives of everyone on board ! ,0
"it passes through a broad cross-section of iranian society , stopping with a pickpocket , a pomegranate seller , an abortionist , an estate sale , a beggar , a college student , a wedding reception , some musicians , smuggling rings , and some new year's revelers . ",0
move over bond ; this girl deserves a sequel . ,1
"by applying definition to both sides of the man , the picture realizes a fullness that does not negate the subject . ",1
